"Tabela 9605 - População residente, por cor ou raça, nos Censos Demográficos"
"Variável - População residente"
"Nível","Cód.","Município","Ano x Cor ou raça"
"Nível","Cód.","Município","2022"
"Nível","Cód.","Município","Branca",,"Preta",,"Amarela",,"Parda",,"Indígena"
"MU","1200807","Porto Acre (AC)","3488","Pessoas","2175","Pessoas","55","Pessoas","10894","Pessoas","81","Pessoas"
"MU","1300029","Alvarães (AM)","1040","Pessoas","456","Pessoas","2","Pessoas","11393","Pessoas","2975","Pessoas"
"MU","1300060","Amaturá (AM)","294","Pessoas","370","Pessoas","1","Pessoas","4023","Pessoas","6131","Pessoas"
"MU","1300086","Anamã (AM)","1265","Pessoas","275","Pessoas","2","Pessoas","7772","Pessoas","648","Pessoas"
"MU","1300102","Anori (AM)","1979","Pessoas","1061","Pessoas","7","Pessoas","13715","Pessoas","432","Pessoas"
"MU","1300144","Apuí (AM)","5385","Pessoas","1774","Pessoas","71","Pessoas","13109","Pessoas","308","Pessoas"
"MU","1300201","Atalaia do Norte (AM)","1496","Pessoas","536","Pessoas","9","Pessoas","6166","Pessoas","7107","Pessoas"
"MU","1300300","Autazes (AM)","4456","Pessoas","934","Pessoas","25","Pessoas","20650","Pessoas","15499","Pessoas"
"MU","1300409","Barcelos (AM)","1140","Pessoas","481","Pessoas","15","Pessoas","7330","Pessoas","9868","Pessoas"
"MU","1300508","Barreirinha (AM)","2576","Pessoas","2605","Pessoas","13","Pessoas","19700","Pessoas","6157","Pessoas"
"MU","1300607","Benjamin Constant (AM)","2381","Pessoas","1248","Pessoas","4","Pessoas","19428","Pessoas","14587","Pessoas"
"MU","1300631","Beruri (AM)","2365","Pessoas","766","Pessoas","6","Pessoas","15584","Pessoas","1997","Pessoas"
"MU","1300680","Boa Vista do Ramos (AM)","923","Pessoas","297","Pessoas","7","Pessoas","22045","Pessoas","513","Pessoas"
"MU","1300706","Boca do Acre (AM)","8110","Pessoas","2366","Pessoas","47","Pessoas","23035","Pessoas","1889","Pessoas"
"MU","1300805","Borba (AM)","3449","Pessoas","1052","Pessoas","28","Pessoas","22094","Pessoas","6457","Pessoas"
"MU","1300839","Caapiranga (AM)","1580","Pessoas","400","Pessoas","3","Pessoas","11446","Pessoas","38","Pessoas"
"MU","1300904","Canutama (AM)","3202","Pessoas","676","Pessoas","8","Pessoas","11836","Pessoas","1144","Pessoas"
"MU","1301001","Carauari (AM)","5464","Pessoas","1895","Pessoas","10","Pessoas","20935","Pessoas","437","Pessoas"
"MU","1301100","Careiro (AM)","5563","Pessoas","1523","Pessoas","53","Pessoas","22627","Pessoas","1026","Pessoas"
"MU","1301159","Careiro da Várzea (AM)","3164","Pessoas","1019","Pessoas","21","Pessoas","14234","Pessoas","1198","Pessoas"
"MU","1301209","Coari (AM)","8751","Pessoas","4135","Pessoas","82","Pessoas","53282","Pessoas","4364","Pessoas"
"MU","1301308","Codajás (AM)","3104","Pessoas","1029","Pessoas","6","Pessoas","19370","Pessoas","40","Pessoas"
"MU","1301407","Eirunepé (AM)","6302","Pessoas","2449","Pessoas","10","Pessoas","22485","Pessoas","1923","Pessoas"
"MU","1301506","Envira (AM)","4394","Pessoas","1097","Pessoas","2","Pessoas","10679","Pessoas","1013","Pessoas"
"MU","1301605","Fonte Boa (AM)","2792","Pessoas","1239","Pessoas","3","Pessoas","18445","Pessoas","3390","Pessoas"
"MU","1301654","Guajará (AM)","3042","Pessoas","788","Pessoas","11","Pessoas","9878","Pessoas","96","Pessoas"
"MU","1301704","Humaitá (AM)","12418","Pessoas","3617","Pessoas","61","Pessoas","38433","Pessoas","2944","Pessoas"
"MU","1301803","Ipixuna (AM)","4456","Pessoas","1143","Pessoas","26","Pessoas","16536","Pessoas","2148","Pessoas"
"MU","1301852","Iranduba (AM)","9967","Pessoas","3510","Pessoas","124","Pessoas","46690","Pessoas","872","Pessoas"
"MU","1301902","Itacoatiara (AM)","16291","Pessoas","5016","Pessoas","107","Pessoas","80309","Pessoas","1872","Pessoas"
"MU","1301951","Itamarati (AM)","2163","Pessoas","533","Pessoas","4","Pessoas","6336","Pessoas","1901","Pessoas"
"MU","1302009","Itapiranga (AM)","1501","Pessoas","348","Pessoas","15","Pessoas","8234","Pessoas","64","Pessoas"
"MU","1302108","Japurá (AM)","942","Pessoas","499","Pessoas","1","Pessoas","5456","Pessoas","1959","Pessoas"
"MU","1302207","Juruá (AM)","1344","Pessoas","943","Pessoas","8","Pessoas","7682","Pessoas","765","Pessoas"
"MU","1302306","Jutaí (AM)","2002","Pessoas","628","Pessoas","11","Pessoas","16901","Pessoas","5630","Pessoas"
"MU","1302405","Lábrea (AM)","7306","Pessoas","2043","Pessoas","47","Pessoas","27778","Pessoas","8274","Pessoas"
"MU","1302504","Manacapuru (AM)","12620","Pessoas","3898","Pessoas","48","Pessoas","84487","Pessoas","830","Pessoas"
"MU","1302553","Manaquiri (AM)","2154","Pessoas","711","Pessoas","14","Pessoas","13228","Pessoas","1000","Pessoas"
"MU","1302603","Manaus (AM)","489674","Pessoas","115141","Pessoas","4463","Pessoas","1435484","Pessoas","18854","Pessoas"
"MU","1302702","Manicoré (AM)","9367","Pessoas","2105","Pessoas","44","Pessoas","38828","Pessoas","3570","Pessoas"
"MU","1302801","Maraã (AM)","1448","Pessoas","773","Pessoas","9","Pessoas","11265","Pessoas","2032","Pessoas"
"MU","1302900","Maués (AM)","5030","Pessoas","1405","Pessoas","34","Pessoas","46630","Pessoas","8105","Pessoas"
"MU","1303007","Nhamundá (AM)","1437","Pessoas","347","Pessoas","4","Pessoas","17358","Pessoas","990","Pessoas"
"MU","1303106","Nova Olinda do Norte (AM)","3207","Pessoas","933","Pessoas","13","Pessoas","19516","Pessoas","3393","Pessoas"
"MU","1303205","Novo Airão (AM)","1763","Pessoas","1076","Pessoas","12","Pessoas","10083","Pessoas","2827","Pessoas"
"MU","1303304","Novo Aripuanã (AM)","3023","Pessoas","1306","Pessoas","6","Pessoas","19036","Pessoas","447","Pessoas"
"MU","1303403","Parintins (AM)","10507","Pessoas","3176","Pessoas","126","Pessoas","80602","Pessoas","1956","Pessoas"
"MU","1303502","Pauini (AM)","2866","Pessoas","922","Pessoas","7","Pessoas","12664","Pessoas","2914","Pessoas"
"MU","1303536","Presidente Figueiredo (AM)","5672","Pessoas","1863","Pessoas","47","Pessoas","22279","Pessoas","806","Pessoas"
"MU","1303569","Rio Preto da Eva (AM)","4083","Pessoas","1712","Pessoas","33","Pessoas","18348","Pessoas","760","Pessoas"
