"Tabela 9605 - População residente, por cor ou raça, nos Censos Demográficos"
"Variável - População residente"
"Nível","Cód.","Município","Ano x Cor ou raça"
"Nível","Cód.","Município","2022"
"Nível","Cód.","Município","Branca",,"Preta",,"Amarela",,"Parda",,"Indígena"
"MU","3515301","Estrela do Norte (SP)","1296","Pessoas","119","Pessoas","30","Pessoas","1256","Pessoas","2","Pessoas"
"MU","3515350","Euclides da Cunha Paulista (SP)","2668","Pessoas","613","Pessoas","20","Pessoas","4619","Pessoas","3","Pessoas"
"MU","3515400","Fartura (SP)","12835","Pessoas","489","Pessoas","65","Pessoas","3245","Pessoas","7","Pessoas"
"MU","3515509","Fernandópolis (SP)","48381","Pessoas","3197","Pessoas","656","Pessoas","18901","Pessoas","51","Pessoas"
"MU","3515608","Fernando Prestes (SP)","4326","Pessoas","241","Pessoas","26","Pessoas","1344","Pessoas","5","Pessoas"
"MU","3515657","Fernão (SP)","991","Pessoas","54","Pessoas","20","Pessoas","590","Pessoas","1","Pessoas"
"MU","3515707","Ferraz de Vasconcelos (SP)","76790","Pessoas","21411","Pessoas","394","Pessoas","80375","Pessoas","222","Pessoas"
"MU","3515806","Flora Rica (SP)","727","Pessoas","67","Pessoas","10","Pessoas","683","Pessoas","-","Pessoas"
"MU","3515905","Floreal (SP)","2028","Pessoas","102","Pessoas","7","Pessoas","595","Pessoas","1","Pessoas"
"MU","3516002","Flórida Paulista (SP)","6951","Pessoas","716","Pessoas","140","Pessoas","5147","Pessoas","4","Pessoas"
"MU","3516101","Florínea (SP)","2047","Pessoas","249","Pessoas","6","Pessoas","1546","Pessoas","3","Pessoas"
"MU","3516200","Franca (SP)","225551","Pessoas","26353","Pessoas","759","Pessoas","99611","Pessoas","236","Pessoas"
"MU","3516309","Francisco Morato (SP)","62193","Pessoas","21695","Pessoas","186","Pessoas","80918","Pessoas","140","Pessoas"
"MU","3516408","Franco da Rocha (SP)","65386","Pessoas","15996","Pessoas","246","Pessoas","63113","Pessoas","106","Pessoas"
"MU","3516507","Gabriel Monteiro (SP)","1710","Pessoas","112","Pessoas","57","Pessoas","884","Pessoas","-","Pessoas"
"MU","3516606","Gália (SP)","3589","Pessoas","396","Pessoas","65","Pessoas","2327","Pessoas","3","Pessoas"
"MU","3516705","Garça (SP)","24690","Pessoas","2838","Pessoas","563","Pessoas","13991","Pessoas","28","Pessoas"
"MU","3516804","Gastão Vidigal (SP)","1831","Pessoas","204","Pessoas","5","Pessoas","1211","Pessoas","1","Pessoas"
"MU","3516853","Gavião Peixoto (SP)","2433","Pessoas","317","Pessoas","7","Pessoas","1945","Pessoas","-","Pessoas"
"MU","3516903","General Salgado (SP)","6242","Pessoas","527","Pessoas","21","Pessoas","3516","Pessoas","6","Pessoas"
"MU","3517000","Getulina (SP)","4684","Pessoas","799","Pessoas","121","Pessoas","4627","Pessoas","1","Pessoas"
"MU","3517109","Glicério (SP)","2403","Pessoas","242","Pessoas","20","Pessoas","1473","Pessoas","-","Pessoas"
"MU","3517208","Guaiçara (SP)","5797","Pessoas","765","Pessoas","150","Pessoas","4516","Pessoas","11","Pessoas"
"MU","3517307","Guaimbê (SP)","2319","Pessoas","354","Pessoas","146","Pessoas","2693","Pessoas","-","Pessoas"
"MU","3517406","Guaíra (SP)","21753","Pessoas","2935","Pessoas","790","Pessoas","13780","Pessoas","16","Pessoas"
"MU","3517505","Guapiaçu (SP)","12742","Pessoas","1282","Pessoas","55","Pessoas","7608","Pessoas","24","Pessoas"
"MU","3517604","Guapiara (SP)","8459","Pessoas","395","Pessoas","193","Pessoas","8022","Pessoas","1","Pessoas"
"MU","3517703","Guará (SP)","9053","Pessoas","2228","Pessoas","80","Pessoas","7240","Pessoas","5","Pessoas"
"MU","3517802","Guaraçaí (SP)","3951","Pessoas","346","Pessoas","252","Pessoas","2892","Pessoas","-","Pessoas"
"MU","3517901","Guaraci (SP)","5410","Pessoas","837","Pessoas","38","Pessoas","4056","Pessoas","9","Pessoas"
"MU","3518008","Guarani d'Oeste (SP)","1293","Pessoas","126","Pessoas","9","Pessoas","540","Pessoas","-","Pessoas"
"MU","3518107","Guarantã (SP)","3432","Pessoas","343","Pessoas","50","Pessoas","2599","Pessoas","3","Pessoas"
"MU","3518206","Guararapes (SP)","16579","Pessoas","1733","Pessoas","555","Pessoas","12156","Pessoas","18","Pessoas"
"MU","3518305","Guararema (SP)","18378","Pessoas","1979","Pessoas","379","Pessoas","10446","Pessoas","54","Pessoas"
"MU","3518404","Guaratinguetá (SP)","76371","Pessoas","6925","Pessoas","405","Pessoas","34286","Pessoas","56","Pessoas"
"MU","3518503","Guareí (SP)","9602","Pessoas","610","Pessoas","30","Pessoas","4718","Pessoas","17","Pessoas"
"MU","3518602","Guariba (SP)","16002","Pessoas","3513","Pessoas","71","Pessoas","17896","Pessoas","16","Pessoas"
"MU","3518701","Guarujá (SP)","120376","Pessoas","27414","Pessoas","778","Pessoas","138564","Pessoas","479","Pessoas"
"MU","3518800","Guarulhos (SP)","628337","Pessoas","123048","Pessoas","12088","Pessoas","526650","Pessoas","1580","Pessoas"
"MU","3518859","Guatapará (SP)","3576","Pessoas","524","Pessoas","256","Pessoas","2959","Pessoas","5","Pessoas"
"MU","3518909","Guzolândia (SP)","2145","Pessoas","329","Pessoas","16","Pessoas","1756","Pessoas","-","Pessoas"
"MU","3519006","Herculândia (SP)","4474","Pessoas","440","Pessoas","44","Pessoas","4154","Pessoas","13","Pessoas"
"MU","3519055","Holambra (SP)","9150","Pessoas","581","Pessoas","61","Pessoas","5298","Pessoas","4","Pessoas"
"MU","3519071","Hortolândia (SP)","114463","Pessoas","22507","Pessoas","933","Pessoas","98480","Pessoas","247","Pessoas"
"MU","3519105","Iacanga (SP)","6955","Pessoas","431","Pessoas","50","Pessoas","2993","Pessoas","8","Pessoas"
"MU","3519204","Iacri (SP)","3277","Pessoas","248","Pessoas","101","Pessoas","2498","Pessoas","7","Pessoas"
"MU","3519253","Iaras (SP)","3866","Pessoas","580","Pessoas","8","Pessoas","3547","Pessoas","9","Pessoas"
"MU","3519303","Ibaté (SP)","17257","Pessoas","2376","Pessoas","42","Pessoas","12479","Pessoas","24","Pessoas"
"MU","3519402","Ibirá (SP)","8326","Pessoas","396","Pessoas","44","Pessoas","2918","Pessoas","5","Pessoas"
"MU","3519501","Ibirarema (SP)","4380","Pessoas","284","Pessoas","18","Pessoas","1697","Pessoas","3","Pessoas"
"MU","3519600","Ibitinga (SP)","40151","Pessoas","3169","Pessoas","187","Pessoas","16475","Pessoas","49","Pessoas"
"MU","3519709","Ibiúna (SP)","44179","Pessoas","3798","Pessoas","1777","Pessoas","25765","Pessoas","75","Pessoas"
"MU","3519808","Icém (SP)","3961","Pessoas","595","Pessoas","43","Pessoas","3213","Pessoas","7","Pessoas"
"MU","3519907","Iepê (SP)","5216","Pessoas","238","Pessoas","29","Pessoas","2136","Pessoas","-","Pessoas"
"MU","3520004","Igaraçu do Tietê (SP)","13189","Pessoas","1734","Pessoas","32","Pessoas","8135","Pessoas","16","Pessoas"
"MU","3520103","Igarapava (SP)","13530","Pessoas","2056","Pessoas","65","Pessoas","10558","Pessoas","2","Pessoas"
"MU","3520202","Igaratá (SP)","6510","Pessoas","644","Pessoas","34","Pessoas","3396","Pessoas","21","Pessoas"
"MU","3520301","Iguape (SP)","14681","Pessoas","1428","Pessoas","335","Pessoas","12359","Pessoas","311","Pessoas"
"MU","3520400","Ilhabela (SP)","17871","Pessoas","2641","Pessoas","147","Pessoas","14163","Pessoas","112","Pessoas"
"MU","3520426","Ilha Comprida (SP)","7465","Pessoas","867","Pessoas","122","Pessoas","4939","Pessoas","26","Pessoas"
"MU","3520442","Ilha Solteira (SP)","13372","Pessoas","1598","Pessoas","398","Pessoas","10163","Pessoas","18","Pessoas"
"MU","3520509","Indaiatuba (SP)","163860","Pessoas","13956","Pessoas","3352","Pessoas","74382","Pessoas","187","Pessoas"
"MU","3520608","Indiana (SP)","3106","Pessoas","311","Pessoas","16","Pessoas","1654","Pessoas","3","Pessoas"
"MU","3520707","Indiaporã (SP)","2278","Pessoas","190","Pessoas","13","Pessoas","1553","Pessoas","1","Pessoas"
"MU","3520806","Inúbia Paulista (SP)","1966","Pessoas","172","Pessoas","39","Pessoas","1433","Pessoas","5","Pessoas"
"MU","3520905","Ipaussu (SP)","8842","Pessoas","781","Pessoas","21","Pessoas","4059","Pessoas","9","Pessoas"
"MU","3521002","Iperó (SP)","20378","Pessoas","2611","Pessoas","78","Pessoas","13373","Pessoas","19","Pessoas"
"MU","3521101","Ipeúna (SP)","4078","Pessoas","440","Pessoas","15","Pessoas","2293","Pessoas","5","Pessoas"
"MU","3521150","Ipiguá (SP)","4252","Pessoas","313","Pessoas","37","Pessoas","2149","Pessoas","10","Pessoas"
"MU","3521200","Iporanga (SP)","892","Pessoas","658","Pessoas","8","Pessoas","2475","Pessoas","13","Pessoas"
"MU","3521309","Ipuã (SP)","7454","Pessoas","969","Pessoas","25","Pessoas","6004","Pessoas","2","Pessoas"
"MU","3521408","Iracemápolis (SP)","14012","Pessoas","1360","Pessoas","53","Pessoas","6535","Pessoas","7","Pessoas"
"MU","3521507","Irapuã (SP)","4582","Pessoas","235","Pessoas","3","Pessoas","2045","Pessoas","2","Pessoas"
"MU","3521606","Irapuru (SP)","3559","Pessoas","531","Pessoas","172","Pessoas","2822","Pessoas","1","Pessoas"
"MU","3521705","Itaberá (SP)","12686","Pessoas","498","Pessoas","50","Pessoas","4746","Pessoas","3","Pessoas"
"MU","3521804","Itaí (SP)","16063","Pessoas","985","Pessoas","243","Pessoas","7880","Pessoas","4","Pessoas"
"MU","3521903","Itajobi (SP)","12169","Pessoas","602","Pessoas","46","Pessoas","4164","Pessoas","7","Pessoas"
"MU","3522000","Itaju (SP)","2354","Pessoas","146","Pessoas","5","Pessoas","1108","Pessoas","5","Pessoas"
"MU","3522109","Itanhaém (SP)","58198","Pessoas","9840","Pessoas","582","Pessoas","43348","Pessoas","500","Pessoas"
"MU","3522158","Itaoca (SP)","1046","Pessoas","217","Pessoas","7","Pessoas","2152","Pessoas","-","Pessoas"
"MU","3522208","Itapecerica da Serra (SP)","66536","Pessoas","18710","Pessoas","879","Pessoas","72130","Pessoas","252","Pessoas"
"MU","3522307","Itapetininga (SP)","110048","Pessoas","5472","Pessoas","1610","Pessoas","40529","Pessoas","127","Pessoas"
"MU","3522406","Itapeva (SP)","62294","Pessoas","3074","Pessoas","482","Pessoas","23841","Pessoas","35","Pessoas"
"MU","3522505","Itapevi (SP)","90405","Pessoas","24790","Pessoas","421","Pessoas","116575","Pessoas","100","Pessoas"
"MU","3522604","Itapira (SP)","51723","Pessoas","3928","Pessoas","184","Pessoas","16156","Pessoas","30","Pessoas"
"MU","3522653","Itapirapuã Paulista (SP)","2174","Pessoas","112","Pessoas","2","Pessoas","2018","Pessoas","-","Pessoas"
"MU","3522703","Itápolis (SP)","28352","Pessoas","1452","Pessoas","122","Pessoas","9559","Pessoas","8","Pessoas"
"MU","3522802","Itaporanga (SP)","10401","Pessoas","381","Pessoas","187","Pessoas","3046","Pessoas","68","Pessoas"
"MU","3522901","Itapuí (SP)","8489","Pessoas","937","Pessoas","16","Pessoas","4216","Pessoas","1","Pessoas"
"MU","3523008","Itapura (SP)","1510","Pessoas","275","Pessoas","20","Pessoas","2174","Pessoas","-","Pessoas"
"MU","3523107","Itaquaquecetuba (SP)","147012","Pessoas","39455","Pessoas","996","Pessoas","181280","Pessoas","494","Pessoas"
"MU","3523206","Itararé (SP)","32907","Pessoas","1443","Pessoas","162","Pessoas","9877","Pessoas","49","Pessoas"
"MU","3523305","Itariri (SP)","6750","Pessoas","1126","Pessoas","352","Pessoas","7216","Pessoas","84","Pessoas"
"MU","3523404","Itatiba (SP)","76794","Pessoas","8257","Pessoas","822","Pessoas","35659","Pessoas","54","Pessoas"
"MU","3523503","Itatinga (SP)","12019","Pessoas","1143","Pessoas","16","Pessoas","5878","Pessoas","13","Pessoas"
"MU","3523602","Itirapina (SP)","9460","Pessoas","1194","Pessoas","38","Pessoas","5448","Pessoas","8","Pessoas"
"MU","3523701","Itirapuã (SP)","2979","Pessoas","497","Pessoas","15","Pessoas","2285","Pessoas","3","Pessoas"
"MU","3523800","Itobi (SP)","4863","Pessoas","467","Pessoas","10","Pessoas","2705","Pessoas","1","Pessoas"
"MU","3523909","Itu (SP)","104964","Pessoas","11034","Pessoas","793","Pessoas","51327","Pessoas","115","Pessoas"
"MU","3524006","Itupeva (SP)","39398","Pessoas","4673","Pessoas","603","Pessoas","25893","Pessoas","43","Pessoas"
"MU","3524105","Ituverava (SP)","21892","Pessoas","2807","Pessoas","315","Pessoas","12536","Pessoas","20","Pessoas"
"MU","3524204","Jaborandi (SP)","3251","Pessoas","530","Pessoas","18","Pessoas","2402","Pessoas","20","Pessoas"
"MU","3524303","Jaboticabal (SP)","46705","Pessoas","4774","Pessoas","627","Pessoas","19692","Pessoas","18","Pessoas"
"MU","3524402","Jacareí (SP)","154729","Pessoas","14861","Pessoas","2090","Pessoas","68403","Pessoas","177","Pessoas"
"MU","3524501","Jaci (SP)","4636","Pessoas","454","Pessoas","20","Pessoas","2498","Pessoas","5","Pessoas"
"MU","3524600","Jacupiranga (SP)","8229","Pessoas","665","Pessoas","61","Pessoas","7128","Pessoas","14","Pessoas"
"MU","3524709","Jaguariúna (SP)","38280","Pessoas","3201","Pessoas","296","Pessoas","17539","Pessoas","31","Pessoas"
"MU","3524808","Jales (SP)","33764","Pessoas","1662","Pessoas","886","Pessoas","12453","Pessoas","11","Pessoas"
"MU","3524907","Jambeiro (SP)","4252","Pessoas","286","Pessoas","34","Pessoas","1821","Pessoas","4","Pessoas"
"MU","3525003","Jandira (SP)","54901","Pessoas","12172","Pessoas","491","Pessoas","50393","Pessoas","83","Pessoas"
"MU","3525102","Jardinópolis (SP)","25916","Pessoas","3593","Pessoas","142","Pessoas","15611","Pessoas","20","Pessoas"
"MU","3525201","Jarinu (SP)","20502","Pessoas","2103","Pessoas","213","Pessoas","14682","Pessoas","35","Pessoas"
"MU","3525300","Jaú (SP)","95343","Pessoas","7600","Pessoas","328","Pessoas","30159","Pessoas","55","Pessoas"
"MU","3525409","Jeriquara (SP)","1777","Pessoas","395","Pessoas","13","Pessoas","1672","Pessoas","4","Pessoas"
"MU","3525508","Joanópolis (SP)","8920","Pessoas","447","Pessoas","47","Pessoas","3393","Pessoas","8","Pessoas"
"MU","3525607","João Ramalho (SP)","2246","Pessoas","363","Pessoas","13","Pessoas","1746","Pessoas","3","Pessoas"
"MU","3525706","José Bonifácio (SP)","25027","Pessoas","1513","Pessoas","80","Pessoas","10005","Pessoas","7","Pessoas"
"MU","3525805","Júlio Mesquita (SP)","1849","Pessoas","195","Pessoas","25","Pessoas","2184","Pessoas","1","Pessoas"
"MU","3525854","Jumirim (SP)","1970","Pessoas","189","Pessoas","1","Pessoas","895","Pessoas","1","Pessoas"
"MU","3525904","Jundiaí (SP)","309111","Pessoas","24925","Pessoas","4045","Pessoas","104824","Pessoas","281","Pessoas"
"MU","3526001","Junqueirópolis (SP)","11660","Pessoas","934","Pessoas","352","Pessoas","7491","Pessoas","11","Pessoas"
"MU","3526100","Juquiá (SP)","7767","Pessoas","1012","Pessoas","266","Pessoas","8081","Pessoas","27","Pessoas"
"MU","3526209","Juquitiba (SP)","15179","Pessoas","1667","Pessoas","138","Pessoas","10386","Pessoas","34","Pessoas"
"MU","3526308","Lagoinha (SP)","3648","Pessoas","180","Pessoas","8","Pessoas","1244","Pessoas","3","Pessoas"
"MU","3526407","Laranjal Paulista (SP)","17622","Pessoas","1714","Pessoas","81","Pessoas","6841","Pessoas","3","Pessoas"
"MU","3526506","Lavínia (SP)","4507","Pessoas","1041","Pessoas","111","Pessoas","4018","Pessoas","7","Pessoas"
"MU","3526605","Lavrinhas (SP)","4451","Pessoas","397","Pessoas","19","Pessoas","2303","Pessoas","1","Pessoas"
"MU","3526704","Leme (SP)","63969","Pessoas","5316","Pessoas","262","Pessoas","28562","Pessoas","51","Pessoas"
"MU","3526803","Lençóis Paulista (SP)","44649","Pessoas","3100","Pessoas","159","Pessoas","18564","Pessoas","31","Pessoas"
"MU","3526902","Limeira (SP)","190372","Pessoas","19733","Pessoas","1094","Pessoas","80503","Pessoas","161","Pessoas"
"MU","3527009","Lindóia (SP)","5142","Pessoas","286","Pessoas","31","Pessoas","1555","Pessoas","-","Pessoas"
"MU","3527108","Lins (SP)","43496","Pessoas","5357","Pessoas","1338","Pessoas","24549","Pessoas","39","Pessoas"
"MU","3527207","Lorena (SP)","53139","Pessoas","5831","Pessoas","338","Pessoas","25484","Pessoas","62","Pessoas"
"MU","3527256","Lourdes (SP)","1206","Pessoas","131","Pessoas","9","Pessoas","604","Pessoas","-","Pessoas"
"MU","3527306","Louveira (SP)","27832","Pessoas","3446","Pessoas","176","Pessoas","20356","Pessoas","35","Pessoas"
"MU","3527405","Lucélia (SP)","11642","Pessoas","1035","Pessoas","209","Pessoas","7171","Pessoas","4","Pessoas"
"MU","3527504","Lucianópolis (SP)","1416","Pessoas","111","Pessoas","12","Pessoas","832","Pessoas","1","Pessoas"
"MU","3527603","Luís Antônio (SP)","6118","Pessoas","1037","Pessoas","34","Pessoas","5068","Pessoas","8","Pessoas"
"MU","3527702","Luiziânia (SP)","2206","Pessoas","284","Pessoas","6","Pessoas","2198","Pessoas","7","Pessoas"
"MU","3527801","Lupércio (SP)","1929","Pessoas","297","Pessoas","12","Pessoas","1742","Pessoas","1","Pessoas"
"MU","3527900","Lutécia (SP)","1483","Pessoas","130","Pessoas","7","Pessoas","1039","Pessoas","2","Pessoas"
"MU","3528007","Macatuba (SP)","10191","Pessoas","1059","Pessoas","10","Pessoas","5561","Pessoas","8","Pessoas"
"MU","3528106","Macaubal (SP)","5478","Pessoas","284","Pessoas","26","Pessoas","1691","Pessoas","2","Pessoas"
"MU","3528205","Macedônia (SP)","2563","Pessoas","148","Pessoas","22","Pessoas","1229","Pessoas","1","Pessoas"
"MU","3528304","Magda (SP)","2162","Pessoas","104","Pessoas","2","Pessoas","894","Pessoas","3","Pessoas"
"MU","3528403","Mairinque (SP)","26346","Pessoas","3560","Pessoas","498","Pessoas","19572","Pessoas","51","Pessoas"
"MU","3528502","Mairiporã (SP)","52692","Pessoas","6219","Pessoas","696","Pessoas","34144","Pessoas","99","Pessoas"
"MU","3528601","Manduri (SP)","7197","Pessoas","339","Pessoas","12","Pessoas","2321","Pessoas","2","Pessoas"
"MU","3528700","Marabá Paulista (SP)","1829","Pessoas","330","Pessoas","12","Pessoas","2398","Pessoas","4","Pessoas"
"MU","3528809","Maracaí (SP)","8164","Pessoas","564","Pessoas","16","Pessoas","3922","Pessoas","7","Pessoas"
"MU","3528858","Marapoama (SP)","2432","Pessoas","137","Pessoas","6","Pessoas","717","Pessoas","-","Pessoas"
"MU","3528908","Mariápolis (SP)","2148","Pessoas","123","Pessoas","20","Pessoas","1222","Pessoas","-","Pessoas"
"MU","3529005","Marília (SP)","142400","Pessoas","14136","Pessoas","5681","Pessoas","75198","Pessoas","210","Pessoas"
"MU","3529104","Marinópolis (SP)","1099","Pessoas","99","Pessoas","12","Pessoas","649","Pessoas","1","Pessoas"
"MU","3529203","Martinópolis (SP)","13968","Pessoas","1425","Pessoas","141","Pessoas","9332","Pessoas","11","Pessoas"
"MU","3529302","Matão (SP)","49446","Pessoas","4759","Pessoas","356","Pessoas","24456","Pessoas","14","Pessoas"
"MU","3529401","Mauá (SP)","210661","Pessoas","37885","Pessoas","1635","Pessoas","167697","Pessoas","374","Pessoas"
"MU","3529500","Mendonça (SP)","4023","Pessoas","314","Pessoas","13","Pessoas","1805","Pessoas","3","Pessoas"
"MU","3529609","Meridiano (SP)","2974","Pessoas","190","Pessoas","18","Pessoas","1389","Pessoas","1","Pessoas"
"MU","3529658","Mesópolis (SP)","1123","Pessoas","144","Pessoas","2","Pessoas","683","Pessoas","-","Pessoas"
"MU","3529708","Miguelópolis (SP)","10399","Pessoas","1275","Pessoas","148","Pessoas","7606","Pessoas","12","Pessoas"
"MU","3529807","Mineiros do Tietê (SP)","7471","Pessoas","454","Pessoas","7","Pessoas","3295","Pessoas","3","Pessoas"
"MU","3529906","Miracatu (SP)","8678","Pessoas","1102","Pessoas","197","Pessoas","8432","Pessoas","144","Pessoas"
"MU","3530003","Mira Estrela (SP)","2016","Pessoas","149","Pessoas","11","Pessoas","950","Pessoas","-","Pessoas"
"MU","3530102","Mirandópolis (SP)","15120","Pessoas","1464","Pessoas","1024","Pessoas","10357","Pessoas","18","Pessoas"
"MU","3530201","Mirante do Paranapanema (SP)","7397","Pessoas","804","Pessoas","244","Pessoas","7462","Pessoas","10","Pessoas"
"MU","3530300","Mirassol (SP)","42962","Pessoas","3294","Pessoas","200","Pessoas","16824","Pessoas","57","Pessoas"
"MU","3530409","Mirassolândia (SP)","3043","Pessoas","282","Pessoas","3","Pessoas","1341","Pessoas","-","Pessoas"
"MU","3530508","Mococa (SP)","44617","Pessoas","3698","Pessoas","134","Pessoas","19202","Pessoas","30","Pessoas"
"MU","3530607","Mogi das Cruzes (SP)","248044","Pessoas","38256","Pessoas","16603","Pessoas","148050","Pessoas","538","Pessoas"
"MU","3530706","Mogi Guaçu (SP)","111663","Pessoas","6720","Pessoas","351","Pessoas","34856","Pessoas","66","Pessoas"
"MU","3530805","Mogi Mirim (SP)","67372","Pessoas","4498","Pessoas","419","Pessoas","20142","Pessoas","121","Pessoas"
"MU","3530904","Mombuca (SP)","2138","Pessoas","251","Pessoas","1","Pessoas","1332","Pessoas","-","Pessoas"
"MU","3531001","Monções (SP)","1392","Pessoas","123","Pessoas","1","Pessoas","421","Pessoas","-","Pessoas"
"MU","3531100","Mongaguá (SP)","27516","Pessoas","9429","Pessoas","185","Pessoas","24334","Pessoas","487","Pessoas"
"MU","3531209","Monte Alegre do Sul (SP)","6432","Pessoas","384","Pessoas","35","Pessoas","1774","Pessoas","2","Pessoas"
"MU","3531308","Monte Alto (SP)","33686","Pessoas","2364","Pessoas","391","Pessoas","11107","Pessoas","24","Pessoas"
"MU","3531407","Monte Aprazível (SP)","14969","Pessoas","1222","Pessoas","61","Pessoas","6008","Pessoas","13","Pessoas"
"MU","3531506","Monte Azul Paulista (SP)","12810","Pessoas","804","Pessoas","19","Pessoas","4516","Pessoas","2","Pessoas"
"MU","3531605","Monte Castelo (SP)","2590","Pessoas","240","Pessoas","16","Pessoas","1376","Pessoas","-","Pessoas"
"MU","3531704","Monteiro Lobato (SP)","2694","Pessoas","248","Pessoas","16","Pessoas","1178","Pessoas","2","Pessoas"
"MU","3531803","Monte Mor (SP)","31626","Pessoas","5338","Pessoas","150","Pessoas","27501","Pessoas","47","Pessoas"
"MU","3531902","Morro Agudo (SP)","12718","Pessoas","2463","Pessoas","145","Pessoas","12602","Pessoas","5","Pessoas"
"MU","3532009","Morungaba (SP)","8344","Pessoas","723","Pessoas","49","Pessoas","4595","Pessoas","8","Pessoas"
"MU","3532058","Motuca (SP)","2094","Pessoas","383","Pessoas","4","Pessoas","1550","Pessoas","3","Pessoas"
"MU","3532108","Murutinga do Sul (SP)","2270","Pessoas","179","Pessoas","40","Pessoas","1245","Pessoas","3","Pessoas"
"MU","3532157","Nantes (SP)","1209","Pessoas","205","Pessoas","9","Pessoas","1236","Pessoas","1","Pessoas"
"MU","3532207","Narandiba (SP)","2400","Pessoas","382","Pessoas","48","Pessoas","2882","Pessoas","1","Pessoas"
"MU","3532306","Natividade da Serra (SP)","4818","Pessoas","253","Pessoas","14","Pessoas","1910","Pessoas","4","Pessoas"
"MU","3532405","Nazaré Paulista (SP)","11661","Pessoas","882","Pessoas","70","Pessoas","5591","Pessoas","13","Pessoas"
"MU","3532504","Neves Paulista (SP)","6859","Pessoas","516","Pessoas","10","Pessoas","2311","Pessoas","3","Pessoas"
"MU","3532603","Nhandeara (SP)","6972","Pessoas","392","Pessoas","13","Pessoas","2473","Pessoas","2","Pessoas"
"MU","3532702","Nipoã (SP)","2630","Pessoas","273","Pessoas","5","Pessoas","1839","Pessoas","3","Pessoas"
"MU","3532801","Nova Aliança (SP)","4521","Pessoas","453","Pessoas","16","Pessoas","1692","Pessoas","11","Pessoas"
"MU","3532827","Nova Campina (SP)","5490","Pessoas","275","Pessoas","13","Pessoas","2714","Pessoas","5","Pessoas"
"MU","3532843","Nova Canaã Paulista (SP)","1258","Pessoas","109","Pessoas","7","Pessoas","658","Pessoas","-","Pessoas"
"MU","3532868","Nova Castilho (SP)","680","Pessoas","20","Pessoas","2","Pessoas","360","Pessoas","-","Pessoas"
"MU","3532900","Nova Europa (SP)","4913","Pessoas","742","Pessoas","51","Pessoas","3601","Pessoas","4","Pessoas"
"MU","3533007","Nova Granada (SP)","11351","Pessoas","1354","Pessoas","36","Pessoas","6655","Pessoas","23","Pessoas"
"MU","3533106","Nova Guataporanga (SP)","1411","Pessoas","139","Pessoas","11","Pessoas","595","Pessoas","-","Pessoas"
"MU","3533205","Nova Independência (SP)","2118","Pessoas","338","Pessoas","8","Pessoas","2144","Pessoas","1","Pessoas"
"MU","3533254","Novais (SP)","2127","Pessoas","407","Pessoas","10","Pessoas","1868","Pessoas","-","Pessoas"
"MU","3533304","Nova Luzitânia (SP)","1550","Pessoas","187","Pessoas","7","Pessoas","1093","Pessoas","-","Pessoas"
"MU","3533403","Nova Odessa (SP)","40578","Pessoas","3670","Pessoas","206","Pessoas","17500","Pessoas","65","Pessoas"
"MU","3533502","Novo Horizonte (SP)","26608","Pessoas","1603","Pessoas","107","Pessoas","9981","Pessoas","25","Pessoas"
"MU","3533601","Nuporanga (SP)","5026","Pessoas","413","Pessoas","9","Pessoas","1933","Pessoas","10","Pessoas"
"MU","3533700","Ocauçu (SP)","2555","Pessoas","223","Pessoas","14","Pessoas","1539","Pessoas","-","Pessoas"
"MU","3533809","Óleo (SP)","1833","Pessoas","86","Pessoas","2","Pessoas","590","Pessoas","1","Pessoas"
"MU","3533908","Olímpia (SP)","35634","Pessoas","3295","Pessoas","183","Pessoas","15939","Pessoas","23","Pessoas"
"MU","3534005","Onda Verde (SP)","2585","Pessoas","411","Pessoas","31","Pessoas","1727","Pessoas","17","Pessoas"
"MU","3534104","Oriente (SP)","3284","Pessoas","468","Pessoas","35","Pessoas","2298","Pessoas","-","Pessoas"
"MU","3534203","Orindiúva (SP)","3083","Pessoas","453","Pessoas","49","Pessoas","2439","Pessoas","-","Pessoas"
"MU","3534302","Orlândia (SP)","21903","Pessoas","2711","Pessoas","77","Pessoas","13614","Pessoas","14","Pessoas"
"MU","3534401","Osasco (SP)","377631","Pessoas","69458","Pessoas","5840","Pessoas","275098","Pessoas","539","Pessoas"
"MU","3534500","Oscar Bressane (SP)","1596","Pessoas","76","Pessoas","67","Pessoas","727","Pessoas","4","Pessoas"
"MU","3534609","Osvaldo Cruz (SP)","19176","Pessoas","1310","Pessoas","500","Pessoas","10269","Pessoas","14","Pessoas"
"MU","3534708","Ourinhos (SP)","70140","Pessoas","5700","Pessoas","1223","Pessoas","26806","Pessoas","94","Pessoas"
"MU","3534757","Ouroeste (SP)","6020","Pessoas","554","Pessoas","106","Pessoas","3613","Pessoas","1","Pessoas"
"MU","3534807","Ouro Verde (SP)","3493","Pessoas","498","Pessoas","21","Pessoas","3757","Pessoas","10","Pessoas"
"MU","3534906","Pacaembu (SP)","6731","Pessoas","955","Pessoas","346","Pessoas","6833","Pessoas","12","Pessoas"
"MU","3535002","Palestina (SP)","6690","Pessoas","648","Pessoas","23","Pessoas","4106","Pessoas","9","Pessoas"
"MU","3535101","Palmares Paulista (SP)","4714","Pessoas","909","Pessoas","12","Pessoas","4006","Pessoas","9","Pessoas"
