"Tabela 4712 - Domicílios particulares permanentes ocupados, Moradores em domicílios particulares permanentes ocupados e Média de moradores em domicílios particulares permanentes ocupados"
"Variável - Domicílios particulares permanentes ocupados"
"Nível","Cód.","Município","Ano"
"Nível","Cód.","Município","2022"
"MU","1400282","Iracema (RR)","2925","Domicílios"
"MU","1400308","Mucajaí (RR)","5339","Domicílios"
"MU","1400407","Normandia (RR)","2719","Domicílios"
"MU","1400456","Pacaraima (RR)","3958","Domicílios"
"MU","1400472","Rorainópolis (RR)","10064","Domicílios"
"MU","1400506","São João da Baliza (RR)","2603","Domicílios"
"MU","1400605","São Luiz (RR)","2260","Domicílios"
"MU","1400704","Uiramutã (RR)","2339","Domicílios"
"MU","1500107","Abaetetuba (PA)","43033","Domicílios"
"MU","1500131","Abel Figueiredo (PA)","2000","Domicílios"
"MU","1500206","Acará (PA)","17057","Domicílios"
"MU","1500305","Afuá (PA)","9038","Domicílios"
"MU","1500347","Água Azul do Norte (PA)","5618","Domicílios"
"MU","1500404","Alenquer (PA)","17906","Domicílios"
"MU","1500503","Almeirim (PA)","9116","Domicílios"
"MU","1500602","Altamira (PA)","41217","Domicílios"
"MU","1500701","Anajás (PA)","6369","Domicílios"
"MU","1500800","Ananindeua (PA)","154891","Domicílios"
"MU","1500859","Anapu (PA)","9335","Domicílios"
"MU","1500909","Augusto Corrêa (PA)","12365","Domicílios"
"MU","1500958","Aurora do Pará (PA)","6652","Domicílios"
"MU","1501006","Aveiro (PA)","4647","Domicílios"
"MU","1501105","Bagre (PA)","5748","Domicílios"
"MU","1501204","Baião (PA)","12116","Domicílios"
"MU","1501253","Bannach (PA)","1323","Domicílios"
"MU","1501303","Barcarena (PA)","37980","Domicílios"
"MU","1501402","Belém (PA)","422975","Domicílios"
"MU","1501451","Belterra (PA)","5350","Domicílios"
"MU","1501501","Benevides (PA)","20497","Domicílios"
"MU","1501576","Bom Jesus do Tocantins (PA)","5108","Domicílios"
"MU","1501600","Bonito (PA)","4214","Domicílios"
"MU","1501709","Bragança (PA)","37060","Domicílios"
"MU","1501725","Brasil Novo (PA)","7195","Domicílios"
"MU","1501758","Brejo Grande do Araguaia (PA)","2130","Domicílios"
"MU","1501782","Breu Branco (PA)","13532","Domicílios"
"MU","1501808","Breves (PA)","24356","Domicílios"
"MU","1501907","Bujaru (PA)","7099","Domicílios"
"MU","1501956","Cachoeira do Piriá (PA)","5620","Domicílios"
"MU","1502004","Cachoeira do Arari (PA)","6550","Domicílios"
"MU","1502103","Cametá (PA)","33318","Domicílios"
"MU","1502152","Canaã dos Carajás (PA)","24376","Domicílios"
"MU","1502202","Capanema (PA)","23060","Domicílios"
"MU","1502301","Capitão Poço (PA)","18213","Domicílios"
"MU","1502400","Castanhal (PA)","63783","Domicílios"
"MU","1502509","Chaves (PA)","4748","Domicílios"
"MU","1502608","Colares (PA)","3995","Domicílios"
"MU","1502707","Conceição do Araguaia (PA)","15172","Domicílios"
"MU","1502756","Concórdia do Pará (PA)","7968","Domicílios"
"MU","1502764","Cumaru do Norte (PA)","3626","Domicílios"
"MU","1502772","Curionópolis (PA)","6416","Domicílios"
"MU","1502806","Curralinho (PA)","8164","Domicílios"
"MU","1502855","Curuá (PA)","3903","Domicílios"
"MU","1502905","Curuçá (PA)","12131","Domicílios"
"MU","1502939","Dom Eliseu (PA)","15347","Domicílios"
"MU","1502954","Eldorado do Carajás (PA)","8905","Domicílios"
"MU","1503002","Faro (PA)","2096","Domicílios"
"MU","1503044","Floresta do Araguaia (PA)","5986","Domicílios"
"MU","1503077","Garrafão do Norte (PA)","7710","Domicílios"
"MU","1503093","Goianésia do Pará (PA)","8289","Domicílios"
"MU","1503101","Gurupá (PA)","7375","Domicílios"
"MU","1503200","Igarapé-Açu (PA)","11529","Domicílios"
"MU","1503309","Igarapé-Miri (PA)","16925","Domicílios"
"MU","1503408","Inhangapi (PA)","3213","Domicílios"
"MU","1503457","Ipixuna do Pará (PA)","8758","Domicílios"
"MU","1503507","Irituia (PA)","9562","Domicílios"
"MU","1503606","Itaituba (PA)","36386","Domicílios"
"MU","1503705","Itupiranga (PA)","13778","Domicílios"
"MU","1503754","Jacareacanga (PA)","5086","Domicílios"
"MU","1503804","Jacundá (PA)","12607","Domicílios"
"MU","1503903","Juruti (PA)","12346","Domicílios"
"MU","1504000","Limoeiro do Ajuru (PA)","7177","Domicílios"
"MU","1504059","Mãe do Rio (PA)","9890","Domicílios"
"MU","1504109","Magalhães Barata (PA)","2495","Domicílios"
"MU","1504208","Marabá (PA)","86027","Domicílios"
"MU","1504307","Maracanã (PA)","7716","Domicílios"
"MU","1504406","Marapanim (PA)","8375","Domicílios"
"MU","1504422","Marituba (PA)","35884","Domicílios"
"MU","1504455","Medicilândia (PA)","8955","Domicílios"
"MU","1504505","Melgaço (PA)","5715","Domicílios"
"MU","1504604","Mocajuba (PA)","6854","Domicílios"
"MU","1504703","Moju (PA)","25016","Domicílios"
"MU","1504752","Mojuí dos Campos (PA)","7478","Domicílios"
"MU","1504802","Monte Alegre (PA)","18315","Domicílios"
"MU","1504901","Muaná (PA)","10636","Domicílios"
"MU","1504950","Nova Esperança do Piriá (PA)","6025","Domicílios"
"MU","1504976","Nova Ipixuna (PA)","4571","Domicílios"
"MU","1505007","Nova Timboteua (PA)","4560","Domicílios"
"MU","1505031","Novo Progresso (PA)","10452","Domicílios"
"MU","1505064","Novo Repartimento (PA)","18530","Domicílios"
"MU","1505106","Óbidos (PA)","14537","Domicílios"
"MU","1505205","Oeiras do Pará (PA)","8093","Domicílios"
"MU","1505304","Oriximiná (PA)","17956","Domicílios"
"MU","1505403","Ourém (PA)","5758","Domicílios"
"MU","1505437","Ourilândia do Norte (PA)","10381","Domicílios"
"MU","1505486","Pacajá (PA)","12474","Domicílios"
"MU","1505494","Palestina do Pará (PA)","2200","Domicílios"
"MU","1505502","Paragominas (PA)","33006","Domicílios"
"MU","1505536","Parauapebas (PA)","87667","Domicílios"
"MU","1505551","Pau D'Arco (PA)","2225","Domicílios"
"MU","1505601","Peixe-Boi (PA)","2947","Domicílios"
"MU","1505635","Piçarra (PA)","4072","Domicílios"
"MU","1505650","Placas (PA)","5877","Domicílios"
"MU","1505700","Ponta de Pedras (PA)","7084","Domicílios"
"MU","1505809","Portel (PA)","13286","Domicílios"
"MU","1505908","Porto de Moz (PA)","9065","Domicílios"
"MU","1506005","Prainha (PA)","9205","Domicílios"
"MU","1506104","Primavera (PA)","3528","Domicílios"
"MU","1506112","Quatipuru (PA)","3649","Domicílios"
"MU","1506138","Redenção (PA)","28022","Domicílios"
"MU","1506161","Rio Maria (PA)","6503","Domicílios"
"MU","1506187","Rondon do Pará (PA)","15285","Domicílios"
"MU","1506195","Rurópolis (PA)","9079","Domicílios"
"MU","1506203","Salinópolis (PA)","13482","Domicílios"
"MU","1506302","Salvaterra (PA)","7391","Domicílios"
"MU","1506351","Santa Bárbara do Pará (PA)","6801","Domicílios"
"MU","1506401","Santa Cruz do Arari (PA)","1771","Domicílios"
"MU","1506500","Santa Izabel do Pará (PA)","21491","Domicílios"
"MU","1506559","Santa Luzia do Pará (PA)","6312","Domicílios"
"MU","1506583","Santa Maria das Barreiras (PA)","5431","Domicílios"
"MU","1506609","Santa Maria do Pará (PA)","8460","Domicílios"
"MU","1506708","Santana do Araguaia (PA)","10540","Domicílios"
"MU","1506807","Santarém (PA)","95606","Domicílios"
"MU","1506906","Santarém Novo (PA)","1961","Domicílios"
"MU","1507003","Santo Antônio do Tauá (PA)","8807","Domicílios"
"MU","1507102","São Caetano de Odivelas (PA)","5177","Domicílios"
"MU","1507151","São Domingos do Araguaia (PA)","6800","Domicílios"
"MU","1507201","São Domingos do Capim (PA)","8463","Domicílios"
"MU","1507300","São Félix do Xingu (PA)","20836","Domicílios"
"MU","1507409","São Francisco do Pará (PA)","4949","Domicílios"
"MU","1507458","São Geraldo do Araguaia (PA)","7711","Domicílios"
"MU","1507466","São João da Ponta (PA)","1456","Domicílios"
"MU","1507474","São João de Pirabas (PA)","6553","Domicílios"
"MU","1507508","São João do Araguaia (PA)","4390","Domicílios"
"MU","1507607","São Miguel do Guamá (PA)","16392","Domicílios"
"MU","1507706","São Sebastião da Boa Vista (PA)","6560","Domicílios"
"MU","1507755","Sapucaia (PA)","1776","Domicílios"
"MU","1507805","Senador José Porfírio (PA)","6498","Domicílios"
"MU","1507904","Soure (PA)","7083","Domicílios"
"MU","1507953","Tailândia (PA)","21587","Domicílios"
"MU","1507961","Terra Alta (PA)","3355","Domicílios"
"MU","1507979","Terra Santa (PA)","4998","Domicílios"
